Time;ID;Type;Value
00:15.360;ID:2;RSSI short;-100
00:15.361;ID:2;RSSI long;-98
00:15.452;ID:2;RSSI;-100
00:15.454;ID:2;RSSI short;-100
00:15.455;ID:2;RSSI long;-98
00:15.546;ID:2;RSSI;-100
00:15.548;ID:2;RSSI short;-100
00:15.549;ID:2;RSSI long;-98
00:15.640;ID:2;RSSI;-100
00:15.641;ID:2;RSSI short;-100
00:15.642;ID:2;RSSI long;-98
00:15.734;ID:2;RSSI;-100
00:15.735;ID:2;RSSI short;-100
00:15.736;ID:2;RSSI long;-98
00:15.827;ID:2;RSSI;-100
00:15.829;ID:2;RSSI short;-100
00:15.830;ID:2;RSSI long;-98
00:15.921;ID:2;RSSI;-100
00:15.923;ID:2;RSSI short;-100
00:15.924;ID:2;RSSI long;-98
00:16.015;ID:2;RSSI;-100
00:16.016;ID:2;RSSI short;-100
00:16.017;ID:2;RSSI long;-98
00:16.109;ID:2;RSSI;-100
00:16.110;ID:2;RSSI short;-100
00:16.111;ID:2;RSSI long;-98
00:16.202;ID:2;RSSI;-100
00:16.204;ID:2;RSSI short;-100
00:16.205;ID:2;RSSI long;-98
00:16.296;ID:2;RSSI;-100
00:16.298;ID:2;RSSI short;-100
00:16.299;ID:2;RSSI long;-98
00:16.390;ID:2;RSSI;-100
00:16.391;ID:2;RSSI short;-100
00:16.393;ID:2;RSSI long;-100
00:16.484;ID:2;RSSI;-100
00:16.485;ID:2;RSSI short;-100
00:16.486;ID:2;RSSI long;-98
00:16.545;ID:2;Send;7
00:16.546;ID:2;Recieved;7
00:16.581;ID:2;RSSI;-100
00:16.583;ID:2;RSSI short;-100
00:16.584;ID:2;RSSI long;-98
00:16.671;ID:2;RSSI;-100
00:16.673;ID:2;RSSI short;-100
00:16.674;ID:2;RSSI long;-99
00:16.765;ID:2;RSSI;-100
00:16.766;ID:2;RSSI short;-100
00:16.767;ID:2;RSSI long;-99
00:16.859;ID:2;RSSI;-100
00:16.860;ID:2;RSSI short;-100
00:16.861;ID:2;RSSI long;-99
00:16.952;ID:2;RSSI;-100
00:16.954;ID:2;RSSI short;-100
00:16.955;ID:2;RSSI long;-99
00:17.046;ID:2;RSSI;-100
00:17.048;ID:2;RSSI short;-100
00:17.049;ID:2;RSSI long;-99
00:17.140;ID:2;RSSI;-100
00:17.141;ID:2;RSSI short;-100
00:17.142;ID:2;RSSI long;-99
00:17.234;ID:2;RSSI;-100
00:17.235;ID:2;RSSI short;-100
00:17.236;ID:2;RSSI long;-99
00:17.327;ID:2;RSSI;-100
00:17.329;ID:2;RSSI short;-100
00:17.330;ID:2;RSSI long;-99
00:17.421;ID:2;RSSI;-100
00:17.423;ID:2;RSSI short;-100
00:17.424;ID:2;RSSI long;-99
00:17.515;ID:2;RSSI;-100
00:17.516;ID:2;RSSI short;-100
00:17.517;ID:2;RSSI long;-99
00:17.609;ID:2;RSSI;-100
00:17.610;ID:2;RSSI short;-100
00:17.611;ID:2;RSSI long;-99
00:17.702;ID:2;RSSI;-100
00:17.704;ID:2;RSSI short;-100
00:17.705;ID:2;RSSI long;-99
00:17.796;ID:2;RSSI;-100
00:17.798;ID:2;RSSI short;-100
00:17.799;ID:2;RSSI long;-99
00:17.890;ID:2;RSSI;-100
00:17.891;ID:2;RSSI short;-100
00:17.892;ID:2;RSSI long;-99
00:17.984;ID:2;RSSI;-100
00:17.985;ID:2;RSSI short;-100
00:17.986;ID:2;RSSI long;-99
00:18.077;ID:2;RSSI;-100
00:18.079;ID:2;RSSI short;-100
00:18.080;ID:2;RSSI long;-99
00:18.171;ID:2;RSSI;-100
00:18.173;ID:2;RSSI short;-100
00:18.174;ID:2;RSSI long;-99
00:18.265;ID:2;RSSI;-100
00:18.266;ID:2;RSSI short;-100
00:18.268;ID:2;RSSI long;-100
00:18.359;ID:2;RSSI;-100
00:18.360;ID:2;RSSI short;-100
00:18.361;ID:2;RSSI long;-101
00:18.452;ID:2;RSSI;-100
00:18.454;ID:2;RSSI short;-100
00:18.455;ID:2;RSSI long;-100
00:18.546;ID:2;RSSI;-100
00:18.548;ID:2;RSSI short;-100
00:18.549;ID:2;RSSI long;-100
00:18.550;ID:2;Send;8
00:18.551;ID:2;Recieved;8
00:18.644;ID:2;RSSI;-100
00:18.645;ID:2;RSSI short;-100
00:18.646;ID:2;RSSI long;-100
00:18.737;ID:2;RSSI;-100
00:18.739;ID:2;RSSI short;-100
00:18.740;ID:2;RSSI long;-100
00:18.827;ID:2;RSSI;-100
00:18.829;ID:2;RSSI short;-100
00:18.830;ID:2;RSSI long;-100
00:18.921;ID:2;RSSI;-100
00:18.923;ID:2;RSSI short;-100
00:18.924;ID:2;RSSI long;-100
00:19.015;ID:2;RSSI;-100
00:19.016;ID:2;RSSI short;-100
00:19.018;ID:2;RSSI long;-100
00:19.109;ID:2;RSSI;-100
00:19.110;ID:2;RSSI short;-100
00:19.111;ID:2;RSSI long;-100
00:19.202;ID:2;RSSI;-100
00:19.204;ID:2;RSSI short;-100
00:19.205;ID:2;RSSI long;-100
00:19.296;ID:2;RSSI;-100
00:19.298;ID:2;RSSI short;-100
00:19.299;ID:2;RSSI long;-100
00:19.390;ID:2;RSSI;-100
00:19.391;ID:2;RSSI short;-100
00:19.393;ID:2;RSSI long;-100
00:19.484;ID:2;RSSI;-100
00:19.485;ID:2;RSSI short;-100
00:19.486;ID:2;RSSI long;-100
00:19.577;ID:2;RSSI;-100
00:19.579;ID:2;RSSI short;-100
00:19.580;ID:2;RSSI long;-100
00:19.671;ID:2;RSSI;-100
00:19.673;ID:2;RSSI short;-100
00:19.674;ID:2;RSSI long;-100
00:19.765;ID:2;RSSI;-100
00:19.766;ID:2;RSSI short;-100
00:19.768;ID:2;RSSI long;-100
00:19.859;ID:2;RSSI;-100
00:19.860;ID:2;RSSI short;-100
00:19.861;ID:2;RSSI long;-100
00:19.952;ID:2;RSSI;-100
00:19.954;ID:2;RSSI short;-100
00:19.955;ID:2;RSSI long;-100
00:20.046;ID:2;RSSI;-100
00:20.048;ID:2;RSSI short;-100
00:20.049;ID:2;RSSI long;-100
00:20.140;ID:2;RSSI;-100
00:20.141;ID:2;RSSI short;-100
00:20.143;ID:2;RSSI long;-100
00:20.234;ID:2;RSSI;-100
00:20.235;ID:2;RSSI short;-100
00:20.236;ID:2;RSSI long;-100
00:20.327;ID:2;RSSI;-100
00:20.329;ID:2;RSSI short;-100
00:20.330;ID:2;RSSI long;-101
00:20.421;ID:2;RSSI;-100
00:20.423;ID:2;RSSI short;-100
00:20.424;ID:2;RSSI long;-100
00:20.521;ID:2;RSSI;-100
00:20.523;ID:2;RSSI short;-100
00:20.524;ID:2;RSSI long;-100
00:20.546;ID:2;Send;9
00:20.546;ID:2;Recieved;9
00:20.612;ID:2;RSSI;-100
00:20.614;ID:2;RSSI short;-100
00:20.615;ID:2;RSSI long;-100
00:20.703;ID:2;RSSI;-100
00:20.704;ID:2;RSSI short;-100
00:20.705;ID:2;RSSI long;-100
00:20.796;ID:2;RSSI;-100
00:20.798;ID:2;RSSI short;-100
00:20.799;ID:2;RSSI long;-100
00:20.890;ID:2;RSSI;-100
00:20.891;ID:2;RSSI short;-100
00:20.893;ID:2;RSSI long;-100
00:20.984;ID:2;RSSI;-100
00:20.985;ID:2;RSSI short;-100
00:20.986;ID:2;RSSI long;-100
00:21.077;ID:2;RSSI;-100
00:21.079;ID:2;RSSI short;-100
00:21.080;ID:2;RSSI long;-100
00:21.171;ID:2;RSSI;-100
00:21.173;ID:2;RSSI short;-100
00:21.174;ID:2;RSSI long;-100
00:21.265;ID:2;RSSI;-100
00:21.266;ID:2;RSSI short;-100
00:21.268;ID:2;RSSI long;-100
00:21.359;ID:2;RSSI;-100
00:21.360;ID:2;RSSI short;-100
00:21.361;ID:2;RSSI long;-100
00:21.452;ID:2;RSSI;-100
00:21.454;ID:2;RSSI short;-100
00:21.455;ID:2;RSSI long;-100
00:21.546;ID:2;RSSI;-100
00:21.548;ID:2;RSSI short;-100
00:21.549;ID:2;RSSI long;-100
00:21.640;ID:2;RSSI;-100
00:21.641;ID:2;RSSI short;-100
00:21.643;ID:2;RSSI long;-100
00:21.734;ID:2;RSSI;-100
00:21.735;ID:2;RSSI short;-100
00:21.736;ID:2;RSSI long;-100
00:21.827;ID:2;RSSI;-100
00:21.829;ID:2;RSSI short;-100
00:21.830;ID:2;RSSI long;-100
